station_name,exit_count
深圳北,22646
罗湖站,8895
福田口岸,6839
会展中心站,5842
老街,5696
华强北,5683
南山站,5427
兴东,5334
五和,5058
福田,5019
上梅林,4646
布吉,4498
宝安中心,4429
桃园,4424
少年宫,4275
国贸站,4268
深圳北站,4257
黄贝岭,4184
华强路站,4105
科苑,4017
田贝,4016
深圳大学,3991
高新园,3973
西丽,3798
民治,3745
华新,3606
大学城,3576
塘朗,3546
翠竹,3321
龙华,3196
世界之窗站,3188
灵芝,3140
福民,3138
后海站,3070
科学馆站,3009
坂田,2978
杨美,2971
岗厦站,2935
景田,2903
清湖,2894
下沙,2832
双龙,2816
石厦,2805
华侨城站,2805
益田,2797
布心,2772
洪浪北,2739
大新,2723
大剧院站,2713
固戍,2648
晒布,2626
怡景,2609
机场站,2606
湖贝,2591
红岭北,2590
丹竹头,2507
留仙洞,2451
百鸽笼,2433
大剧院,2418
大芬,2399
横岗,2380
太安,2324
沙尾,2281
通新岭,2233
西乡,2218
燕南,2197
碧海湾站,2147
购物公园站,2143
大运,2110
梅景,2099
八卦岭,2096
水贝,2092
宝华,2012
华强南,2004
宝体,1982
黄木岗,1980
翻身,1934
长龙,1929
福永站,1926
竹子林站,1921
塘坑,1917
草埔,1874
红岭,1850
深圳湾公园,1847
侨香,1811
坪洲,1798
白石洲,1786
海月,1785
吉祥,1757
木棉湾,1734
岗厦北,1699
园岭,1695
爱联,1665
皇岗口岸,1661
莲花村,1660
红山,1647
登良,1619
笋岗,1607
龙城广场,1588
南联,1541
沙井,1530
六约,1509
农林,1504
侨城北,1442
鲤鱼门,1432
水湾,1382
莲花西,1375
东角头,1342
市民中心,1319
后瑞,1303
购物公园,1274
下水径,1271
桃源村,1250
?I岭,1248
下梅林,1248
莲花北,1242
后海,1220
香梅北,1219
侨城东站,1218
赤尾,1205
上沙,1197
白石龙,1195
宝安站,1181
荷坳,1147
松岗,1146
新安,1139
龙胜,1135
民乐,1085
西丽湖,986
上塘,969
湾厦,955
红岭南,952
人民南,949
桥头站,948
海上世界,938
香梅,931
洪湖,918
后亭,894
茶光,887
珠光,880
泥岗,875
上水径,854
红树湾,843
长岭陂,832
永湖,829
皇岗村,817
新秀站,808
马鞍山,779
机场东,772
蛇口港,762
龙井,738
塘尾站,691
梅村,657
向西村,624
碧头,606
香蜜湖站,573
深云,530
文锦,524
鹿丹村,487
安托山,476
银湖,472
香蜜,431
深康,395
红树湾南,269
赤湾,239
前海湾,227
前海湾站,145
深湾站,139
临海,61
机场北站,52
