station_name,enter_count
深圳北,18499
五和,11366
布吉,10289
丹竹头,8789
民治,8739
龙华,7919
清湖,7623
下水径,6699
固戍,6634
白石洲,6021
大芬,5923
龙胜,5545
黄贝岭,5529
长龙,5519
坂田,5399
罗湖站,5288
西丽,5274
灵芝,5186
赤尾,5066
沙尾,5011
民乐,4973
白石龙,4864
横岗,4849
上沙,4827
大新,4700
福民,4659
双龙,4647
南山站,4537
翻身,4463
世界之窗站,4381
杨美,4352
草埔,4236
木棉湾,4208
洪浪北,4094
上塘,4071
福永站,3931
岗厦站,3886
碧海湾站,3722
景田,3610
桥头站,3510
桃园,3461
沙井,3461
石厦,3440
六约,3227
坪洲,3209
爱联,3197
红山,3185
塘坑,3138
后瑞,3097
百鸽笼,3061
梅景,3051
西乡,3044
翠竹,3014
泥岗,2967
下沙,2964
上梅林,2959
怡景,2930
益田,2856
下梅林,2839
笋岗,2709
珠光,2704
太安,2683
布心,2658
兴东,2623
东角头,2621
鲤鱼门,2563
大学城,2489
机场东,2431
晒布,2357
桃源村,2317
松岗,2316
上水径,2305
深圳北站,2260
南联,2252
梅村,2226
宝体,2060
老街,2028
福田口岸,2019
龙城广场,1990
红岭,1964
莲花北,1897
红岭北,1894
荷坳,1835
大剧院站,1818
塘尾站,1790
塘朗,1759
竹子林站,1747
深康,1726
马鞍山,1721
吉祥,1716
田贝,1700
湖贝,1693
华强路站,1665
留仙洞,1616
永湖,1607
新秀站,1604
大运,1593
莲花村,1487
宝安中心,1474
海月,1453
?I岭,1447
黄木岗,1435
机场站,1423
福田,1389
园岭,1372
华强南,1332
水湾,1332
宝安站,1322
侨香,1315
大剧院,1302
茶光,1277
通新岭,1265
侨城东站,1250
登良,1242
新安,1237
国贸站,1235
农林,1216
后亭,1177
香梅北,1073
皇岗村,1057
西丽湖,1030
皇岗口岸,1027
岗厦北,975
少年宫,973
洪湖,963
莲花西,924
香梅,923
八卦岭,905
购物公园站,880
湾厦,878
龙井,870
水贝,846
红树湾,833
华侨城站,829
银湖,789
会展中心站,779
科学馆站,750
深云,736
侨城北,712
深圳大学,703
碧头,703
高新园,697
华强北,670
向西村,659
香蜜,658
后海站,595
深圳湾公园,562
燕南,535
红岭南,522
人民南,509
购物公园,484
蛇口港,472
长岭陂,440
华新,430
后海,429
文锦,424
鹿丹村,379
市民中心,324
科苑,311
赤湾,287
安托山,266
宝华,262
海上世界,248
前海湾,215
红树湾南,200
深湾站,95
临海,84
前海湾站,75
机场北站,35
